title,url,price,primary_image_url,currency,crawl_time,current_price,categories
Plantronics BackBeat Fit Wireless Headphones + Mic ,http://www.expansys.com.sg/plantronics-backbeat-fit-wireless-headphones-mic-red-279259/,SG$107,http://i2.expansys.com/img/p/279259/plantronics-backbeat-fit-wireless-headphones-mic.jpg,Singaporean Dollar,2016-04-14 12:05:20,SG$107,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
Philips SHB4000WT Bluetooth Stereo Headset ,http://www.expansys.com.sg/philips-shb4000wt-bluetooth-stereo-headset-on-ear-white-254488/,SG$86,http://i2.expansys.com/img/p/254488/philips-shb4000wt-bluetooth-stereo-headset.jpg,Singaporean Dollar,2016-04-14 12:05:21,SG$86,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Philips SHC2000 Wireless HiFi Headphones ,http://www.expansys.com.sg/philips-shc2000-wireless-hifi-headphones-for-tv-254468/,SG$67,http://i2.expansys.com/img/p/254468/philips-shc2000-wireless-hifi-headphones.jpg,Singaporean Dollar,2016-04-14 12:05:22,SG$67,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Plantronics BackBeat GO 2 Wireless Earbuds + Charging Case ,http://www.expansys.com.sg/plantronics-backbeat-go-2-wireless-earbuds-charging-case-black-251947/,SG$92,http://i2.expansys.com/img/p/251947/plantronics-backbeat-go-2-wireless-earbuds-charging-case.jpg,Singaporean Dollar,2016-04-14 12:05:24,SG$92,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
Plantronics BackBeat Sense Wireless Headphones with Mic ,http://www.expansys.com.sg/plantronics-backbeat-sense-wireless-headphones-with-mic-black-espresso-285314/,SG$173,http://i1.expansys.com/img/p/285314/plantronics-backbeat-sense-wireless-headphones-with-mic.jpg,Singaporean Dollar,2016-04-14 12:05:24,SG$173,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
Plantronics BackBeat PRO Wireless Headphones with Mic ,http://www.expansys.com.sg/plantronics-backbeat-pro-wireless-stereo-headset-black-279326/,SG$234,http://i2.expansys.com/img/p/279326/plantronics-backbeat-pro-wireless-stereo-headset.jpg,Singaporean Dollar,2016-04-14 12:05:26,SG$234,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
Plantronics BackBeat GO 2 Wireless Earbuds ,http://www.expansys.com.sg/plantronics-backbeat-go-2-wireless-stereo-headset-for-smartphones-tablet-black-251945/,SG$71,http://i2.expansys.com/img/p/251945/plantronics-backbeat-go-2-wireless-stereo-headset.jpg,Singaporean Dollar,2016-04-14 12:05:27,SG$71,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
B-Stock Logitech Refurbished 65-Key Bluetooth Keyboard ,http://www.expansys.com.sg/b-stock-logitech-bluetooth-v3-0-tabletkeyboard-refurbished-windows-8-rt-android-30-open-box-288487/,SG$38,http://i2.expansys.com/img/p/288487/b-stock-logitech-bluetooth-v3-0-tabletkeyboard-refurbished.jpg,Singaporean Dollar,2016-04-14 12:05:28,SG$38,"Tablet PCs & iPads,Tablet Accessories,Keyboards"
Philips Fidelio X2 Headphones ,http://www.expansys.com.sg/philips-fidelio-x2-headphones-black-279425/,SG$355,http://i2.expansys.com/img/p/279425/philips-fidelio-x2-headphones.jpg,Singaporean Dollar,2016-04-14 12:05:29,SG$355,"Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers"
Plantronics BackBeat Fit Wireless Headphones + Mic ,http://www.expansys.com.sg/plantronics-backbeat-fit-wireless-headphones-mic-green-262567/,SG$107,http://i2.expansys.com/img/p/262567/plantronics-backbeat-fit-wireless-headphones-mic.jpg,Singaporean Dollar,2016-04-14 12:05:31,SG$107,"Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
