title,url,price,primary_image_url,currency,crawl_time,current_price,categories
Bose SoundTrue Headphones On-ear Style ,http://www.expansys.com.sg/bose-soundtrue-headphones-on-ear-style-purple-mint-white-263655/,SG$244,http://i2.expansys.com/img/p/263655/bose-soundtrue-headphones-on-ear-style.jpg,Singaporean Dollar,2016-04-12 17:18:54,SG$244,"Mobile Phones,Phone Accessories,Headsets & Headphones – Wired"
Bose SoundTrue Headphones On-ear Style ,http://www.expansys.com.sg/bose-soundtrue-headphones-on-ear-style-mini-263653/,SG$244,http://i1.expansys.com/img/p/263653/bose-soundtrue-headphones-on-ear-style.jpg,Singaporean Dollar,2016-04-12 17:18:55,SG$244,"Mobile Phones,Phone Accessories,Headsets & Headphones – Wired"
Bose SoundTrue Headphones Around-ear Style ,http://www.expansys.com.sg/bose-soundtrue-headphones-around-ear-style-mint-263650/,SG$279,http://i1.expansys.com/img/p/263650/bose-soundtrue-headphones-around-ear-style.jpg,Singaporean Dollar,2016-04-12 17:18:55,SG$279,"Mobile Phones,Phone Accessories,Headsets & Headphones – Wired"
AT Screen Guard for Asus Zenfone 6 ,http://www.expansys.com.sg/at-screen-guard-for-asus-zenfone-6-crystal-clear-263639/,SG$1,http://i2.expansys.com/img/p/263639/at-screen-guard-for-asus-zenfone-6.jpg,Singaporean Dollar,2016-04-12 17:18:56,SG$1,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT Screen Guard for Sony Xperia T3 ,http://www.expansys.com.sg/at-screen-guard-for-sony-xperia-t3-anti-fingerprint-crystal-clear-263324/,SG$3,http://i1.expansys.com/img/p/263324/at-screen-guard-for-sony-xperia-t3.jpg,Singaporean Dollar,2016-04-12 17:18:58,SG$3,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT Screen Guard  for Galaxy Tab S 8.4 LTE ,http://www.expansys.com.sg/at-screen-guard-for-galaxy-tab-s84-anti-fingerprint-crystal-clear-263320/,SG$3,http://i1.expansys.com/img/p/263320/at-screen-guard-for-galaxy-tab-s84.jpg,Singaporean Dollar,2016-04-12 17:18:58,SG$3,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT iGlass for LG G3 ,http://www.expansys.com.sg/at-iglass-for-lg-g3-premium-tempered-glass-262969/,SG$18,http://i2.expansys.com/img/p/262969/at-iglass-for-lg-g3.jpg,Singaporean Dollar,2016-04-12 17:19:00,SG$18,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
AT Screen Guard  for LG G3 ,http://www.expansys.com.sg/at-screen-guard-for-lg-g3-anti-fingerprint-crystal-clear-262377/,SG$13,http://i2.expansys.com/img/p/262377/at-screen-guard-for-lg-g3.jpg,Singaporean Dollar,2016-04-12 17:19:01,SG$13,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
innerexile Odyssey case  for iPhone 5/5s ,http://www.expansys.com.sg/innerexile-odyssey-case-for-iphone-5-5s-aluminum-bumper-with-plastic-back-cover-black-266678/,SG$121,http://i2.expansys.com/img/p/266678/innerexile-odyssey-case-for-iphone-5-5s.jpg,Singaporean Dollar,2016-04-12 17:19:03,SG$121,"Mobile Phones,Phone Accessories,Cases & Covers"
AT Screen Guard for Sony Xperia E3 ,http://www.expansys.com.sg/at-screen-guard-for-sony-xperia-e3-anti-fingerprint-crystal-clear-266626/,SG$2,http://i2.expansys.com/img/p/266626/at-screen-guard-for-sony-xperia-e3.jpg,Singaporean Dollar,2016-04-12 17:19:03,SG$2,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
Sony DK48 Magnetic Charging dock ,http://www.expansys.com.sg/sony-dk48-magnetic-charging-dock-for-xperia-z3-and-z3-compact-black-266507/,SG$43,http://i2.expansys.com/img/p/266507/sony-dk48-magnetic-charging-dock.jpg,Singaporean Dollar,2016-04-12 17:19:05,SG$43,"Mobile Phones,Phone Accessories,Cradles & Docking Stations"
innerexile Screen Protector for Apple iPhone 5S/5C/5 ,http://www.expansys.com.sg/innerexile-screen-protector-for-apple-iphone-5s-5c-5-premium-tempered-glass-0-2mm-266450/,SG$26,http://i1.expansys.com/img/p/266450/innerexile-screen-protector-for-apple-iphone-5s-5c-5.jpg,Singaporean Dollar,2016-04-12 17:19:06,SG$26,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
